ID,System,CL,WW,Trial,Species,Condition,Period,Date,Notes
CM1,1,71,87.84,22,Carcinus,,1,6/3/25,
CM3,1,71,91.28,22,Carcinus,,1,6/3/25,
CM4,1,73,104,22,Carcinus,,1,6/13/25,Replaced
CM5,1,67,77.25,22,Carcinus,,1,6/3/25,
CM6,1,64,71.95,22,Carcinus,,1,6/3/25,
CI7,1,105,184.46,22,Irroratus,,1,6/3/25,
CI9,1,104,172.56,22,Irroratus,,1,6/3/25,
HS13,1,25,7.21,22,Hemigrapsus,,1,6/3/25,
HS14,1,21,4.79,22,Hemigrapsus,,1,6/3/25,
HS15,1,21,4.39,22,Hemigrapsus,,1,6/3/25,
HS16,2,19,4.8,16,Hemigrapsus,,1,6/3/25,
HS17,2,22,6.64,16,Hemigrapsus,,1,6/3/25,
HS18,2,22,6.03,16,Hemigrapsus,,1,6/3/25,
CM22,2,64,64.26,16,Carcinus,,1,6/3/25,
CM23,2,58,47.19,16,Carcinus,Missing one leg,1,6/3/25,
CM24,2,69,82.17,16,Carcinus,"Chipped claw, missing 2 legs",1,6/3/25,
CI25,2,88,146.21,16,Irroratus,,1,6/3/25,
CI26,2,110,238.78,16,Irroratus,,1,6/3/25,
CI27,2,93,146.94,16,Irroratus,,1,6/3/25,
CI28,2,89,95.51,16,Irroratus,,1,6/3/25,
CM29,2,82,119.56,16,Carcinus,"Chipped Claw, missing one leg",1,6/3/25,
CM30,2,47,25.51,16,Carcinus,"Chipped Claw, missing one leg",1,6/3/25,
CM31,2,66,76.27,16,Carcinus,,1,6/3/25,
CI32,2,109,230.03,16,Irroratus,,1,6/3/25,
CI33,2,101,182.29,16,Irroratus,,1,6/4/25,
CM2,1,68,91.62,22,Carcinus,2 Chipped Claws,1,6/4/25,
CI34,1,107,213.54,22,Irroratus,,1,6/4/25,
CI35,1,106,203.86,22,Irroratus,,1,6/4/25,
CI8,1,114,220.58,22,Irroratus,,1,6/4/25,
HS10,1,23,6.3,22,Hemigrapsus,,1,6/4/25,
HS11,1,22,5.67,22,Hemigrapsus,,1,6/4/25,
HS12,1,17,2.19,22,Hemigrapsus,,1,6/4/25,
HS19,2,18,3.97,16,Hemigrapsus,,1,6/4/25,
HS20,2,17,2.8,16,Hemigrapsus,Missing one leg,1,6/4/25,
HS21,2,16,2.84,16,Hemigrapsus,,1,6/4/25,
CI36,1,105,204.5,22,Irroratus,,1,6/5/25,
HS37,2,23,5.23,24,Hemigrapsus,missing 2 legs,1,7/1/25,
HS38,2,21,5.26,24,Hemigrapsus,,1,7/1/25,
HS39,2,20,3.78,24,Hemigrapsus,missing 1 leg,1,7/1/25,
CM40,2,77,123.86,24,Carcinus,missing 1 leg,1,7/1/25,
CM41,2,75,104.44,24,Carcinus,missing 1 leg,1,7/1/25,
CM42,2,67,72.14,24,Carcinus,,1,7/1/25,
CI43,2,107,210.85,24,Irroratus,,1,7/1/25,
CI44,2,72,59.76,24,Irroratus,replaced,1,7/1/25,
CI45,2,121,280.17,24,Irroratus,shell disease,1,7/1/25,
HS46,2,22,4.87,24,Hemigrapsus,,1,7/1/25,
HS47,2,20,3.83,24,Hemigrapsus,,1,7/1/25,
HS48,2,22,4.75,24,Hemigrapsus,"replaced 7/1/25, female, chipped claw",1,7/1/25,
CM49,2,68,78.97,24,Carcinus,missing leg,1,7/1/25,
CM50,2,61,48.06,24,Carcinus,missing 2 legs,1,7/1/25,
CM51,2,68,84.23,24,Carcinus,,1,7/1/25,
CI52,2,102,173.11,24,Irroratus,,1,7/1/25,
CI53,2,103,181.65,24,Irroratus,replaced,1,7/1/25,
CI54,2,89,117.06,24,Irroratus,,1,7/1/25,
HS55,1,21,3.9,20,Hemigrapsus,,1,7/1/25,
HS56,1,22,4.95,20,Hemigrapsus,,1,7/1/25,
HS57,1,21,4.13,20,Hemigrapsus,,1,7/1/25,
CM59,1,71,84.15,20,Carcinus,,1,7/1/25,
CM58,1,73,92.92,20,Carcinus,,1,7/1/25,
CM60,1,62,70.54,20,Carcinus,,1,7/1/25,
CI61,1,87,115.36,20,Irroratus,"shell disease, missing leg",1,7/1/25,
CI62,1,111,219.76,20,Irroratus,missing leg,1,7/1/25,
CI63,1,104,214.05,20,Irroratus,missing leg,1,7/1/25,
HS64,1,24,7.12,20,Hemigrapsus,,1,7/1/25,
HS65,1,21,4.6,20,Hemigrapsus,,1,7/1/25,
HS66,1,19,3,20,Hemigrapsus,missing leg,1,7/1/25,
CM67,1,75,124.16,20,Carcinus,,1,7/1/25,
CM68,1,71,91.24,20,Carcinus,,1,7/1/25,
CM69,1,75,103.89,20,Carcinus,,1,7/1/25,
CI70,1,114,237.72,20,Irroratus,shell disease,1,7/1/25,
CI71,1,94,124.66,20,Irroratus,chipped claw,1,7/1/25,
CI72,1,91,131.43,20,Irroratus,missing leg,1,7/1/25,
HS73,5,22,4.78,26,Hemigrapsus,,1,7/10/25,
HS74,5,17,2,26,Hemigrapsus,,1,7/10/25,
HS75,5,21,3.71,26,Hemigrapsus,,1,7/10/25,
CM77,5,61,50.69,26,Carcinus,,1,7/10/25,
CM76,5,64,66.63,26,Carcinus,,1,7/10/25,
CM78,5,72,70.76,26,Carcinus,,1,7/10/25,
CI79,5,106,210.5,26,Irroratus,Missing leg,1,7/10/25,
CI80,5,99,154.42,26,Irroratus,,1,7/10/25,
CI81,5,116,235.13,26,Irroratus,"chipped claw, possible shell disease",1,7/10/25,
HS82,5,19,2.76,26,Hemigrapsus,missing leg,1,7/10/25,
HS83,5,20,3.55,26,Hemigrapsus,missing leg,1,7/10/25,
HS84,5,19,3.03,26,Hemigrapsus,,1,7/10/25,
CM85,5,66,60,26,Carcinus,missing leg,1,7/10/25,
CM86,5,64,59.62,26,Carcinus,,1,7/10/25,
CM87,5,69,86.85,26,Carcinus,,1,7/10/25,
CI88,5,131,357.93,26,Irroratus,,1,7/10/25,
CI89,5,109,224.72,26,Irroratus,shell disease,1,7/10/25,
CI90,5,104,235.58,26,Irroratus,"missing leg, chipped claw",1,7/10/25,
HS91,1,23,4.41,26,Hemigrapsus,Missing two legs,2,7/18/25,
HS92,1,27,10.55,26,Hemigrapsus,Missing two legs,2,7/18/25,
HS93,1,23,7.34,26,Hemigrapsus,Missing two legs,2,7/18/25,
CM94,1,80,143.93,26,Carcinus,,2,7/18/25,
CM95,1,58,44.53,26,Carcinus,,2,7/18/25,
CM96,1,58,45.46,26,Carcinus,Missing two legs,2,7/18/25,
CI97,1,115,243.49,26,Irroratus,,2,7/18/25,
CI98,1,108,223.03,26,Irroratus,,2,7/18/25,
CI99,1,115,255.66,26,Irroratus,Chipped claw,2,7/18/25,
HS100,1,25,6.55,26,Hemigrapsus,Missing two legs,2,7/18/25,
HS101,1,19,4.03,26,Hemigrapsus,Missing one leg,2,7/18/25,
HS102,1,23,5.74,26,Hemigrapsus,,2,7/18/25,
CM103,1,53,34.29,26,Carcinus,,2,7/18/25,
CM104,1,62,57.19,26,Carcinus,,2,7/18/25,
CM105,1,77,116.52,26,Carcinus,,2,7/18/25,
CI106,1,106,182.32,26,Irroratus,"Chipped claw, missing leg",2,7/18/25,
CI107,1,97,147.14,26,Irroratus,,2,7/18/25,
CI108,1,111,200.57,26,Irroratus,,2,7/18/25,
HS109,2,20,8.03,18,Hemigrapsus,Missing 2 legs,2,7/18/25,
HS110,2,21,5.37,18,Hemigrapsus,Missing leg,2,7/18/25,
HS111,2,24,5.78,18,Hemigrapsus,,2,7/18/25,
CM112,2,79,130.5,18,Carcinus,"Broken leg, missing one leg",2,7/18/25,
CM113,2,79,124.49,18,Carcinus,Missing 2 legs,2,7/18/25,
CM114,2,71,93.7,18,Carcinus,,2,7/18/25,
CI115,2,84,93.15,18,Irroratus,,2,7/18/25,
CI116,2,105,203.91,18,Irroratus,,2,7/18/25,
CI117,2,137,388.82,18,Irroratus,Chipped claw,2,7/18/25,
HS118,2,19,3.18,18,Hemigrapsus,Missing two legs,2,7/18/25,
HS119,2,21,8.21,18,Hemigrapsus,,2,7/18/25,
HS120,2,18,2.78,18,Hemigrapsus,,2,7/18/25,
CM121,2,53,32.07,18,Carcinus,,2,7/18/25,
CM122,2,46,20.85,18,Carcinus,,2,7/18/25,
CM123,2,58,44.79,18,Carcinus,,2,7/18/25,
CI124,2,89,104.2,18,Irroratus,,2,7/18/25,
CI125,2,116,251.33,18,Irroratus,Missing one leg,2,7/18/25,
CI126,2,124,322.86,18,Irroratus,,2,7/18/25,
HS127,5,25,7.05,22,Hemigrapsus,,2,8/1/25,
HS128,5,24,6.28,22,Hemigrapsus,"Missing one leg, soft",2,8/1/25,
HS129,5,22,4.64,22,Hemigrapsus,Missing 2 legs,2,8/1/25,
CM130,5,80,126.53,22,Carcinus,Abnormal abdomen,2,8/1/25,
CM131,5,63,64.52,22,Carcinus,,2,8/1/25,
CM132,5,60,50.34,22,Carcinus,,2,8/1/25,
CI133,5,92,133.67,22,Irroratus,,2,8/1/25,
CI134,5,120,293.79,22,Irroratus,,2,8/1/25,
CI135,5,123,335.19,22,Irroratus,,2,8/1/25,
HS136,5,21,4.86,22,Hemigrapsus,,2,8/1/25,
HS137,5,22,4.63,22,Hemigrapsus,Missing 2 legs,2,8/1/25,
HS138,5,20,3.62,22,Hemigrapsus,Soft,2,8/1/25,
CM139,5,55,42.46,22,Carcinus,Missing one leg,2,8/1/25,
CM140,5,59,50.84,22,Carcinus,Missing one leg,2,8/1/25,
CM141,5,54,38.07,22,Carcinus,,2,8/1/25,
CI142,5,116,221.26,22,Irroratus,,2,8/1/25,
CI143,5,114,212.9,22,Irroratus,Missing one leg,2,8/1/25,
CI144,5,103,198.1,22,Irroratus,,2,8/1/25,
HS145,1,20,3.55,24,Hemigrapsus,Missing one leg,2,8/11/25,
HS146,1,16,2.14,24,Hemigrapsus,,2,8/11/25,
HS147,1,19,2.93,24,Hemigrapsus,Missing 2 legs,2,8/11/25,
CM148,1,70,83.65,24,Carcinus,,2,8/11/25,
CM149,1,68,71.24,24,Carcinus,Missing one leg,2,8/11/25,
CM150,1,71,78.71,24,Carcinus,Soft,2,8/11/25,
CI151,1,111,199.52,24,Irroratus,,2,8/11/25,
CI152,1,79,83.22,24,Irroratus,,2,8/11/25,
CI153,1,119,283.53,24,Irroratus,Shell Disease,2,8/11/25,
HS154,1,17,2.42,24,Hemigrapsus,Missing one leg,2,8/11/25,
HS155,1,17,2.37,24,Hemigrapsus,,2,8/11/25,
HS156,1,19,3.72,24,Hemigrapsus,,2,8/11/25,
CM157,1,54,34.1,24,Carcinus,,2,8/11/25,
CM158,1,45,19.01,24,Carcinus,Missing 2 legs,2,8/11/25,
CM159,1,56,40.28,24,Carcinus,,2,8/11/25,
CI160,1,112,194.07,24,Irroratus,Missing 3 legs,2,8/11/25,
CI161,1,108,202.67,24,Irroratus,Shell disease,2,8/11/25,
CI162,1,90,128.61,24,Irroratus,Shell disease,2,8/11/25,
HS163,2,17,2.68,20,Hemigrapsus,,2,8/11/25,
HS164,2,22,4.9,20,Hemigrapsus,,2,8/11/25,
HS165,2,23,5.1,20,Hemigrapsus,Missing one leg,2,8/11/25,
CM166,2,69,82.18,20,Carcinus,,2,8/11/25,
CM167,2,61,54.05,20,Carcinus,,2,8/11/25,
CM168,2,69,76.24,20,Carcinus,Missing one leg,2,8/11/25,
CI169,2,124,330.37,20,Irroratus,Missing one leg,2,8/11/25,
CI170,2,125,307.72,20,Irroratus,,2,8/11/25,
CI171,2,94,137.3,20,Irroratus,,2,8/11/25,
HS172,2,21,4.43,20,Hemigrapsus,Missing one leg,2,8/11/25,
HS173,2,20,3.53,20,Hemigrapsus,Missing one leg,2,8/11/25,
HS174,2,18,3.28,20,Hemigrapsus,,2,8/11/25,
CM175,2,77,104.47,20,Carcinus,Missing 2 legs,2,8/11/25,
CM176,2,56,138.12,20,Carcinus,"Missing one leg, shell disease",2,8/11/25,
CM177,2,60,44.95,20,Carcinus,Leg falling off,2,8/11/25,
CI178,2,109,205.37,20,Irroratus,2 Missing legs,2,8/11/25,
CI179,2,78,74.53,20,Irroratus,Shell disease,2,8/11/25,
CI180,2,117,250.85,20,Irroratus,"Shell disease, Missing one leg",2,8/11/25,